,date,births,wday,year,month,day_of_year,day_of_month,day_of_week
1,1/1/2015,8068,Thu,2015,1,1,1,5
2,1/2/2015,10850,Fri,2015,1,2,2,6
3,1/3/2015,8328,Sat,2015,1,3,3,7
4,1/4/2015,7065,Sun,2015,1,4,4,1
5,1/5/2015,11892,Mon,2015,1,5,5,2
6,1/6/2015,12425,Tue,2015,1,6,6,3
7,1/7/2015,12141,Wed,2015,1,7,7,4
8,1/8/2015,12094,Thu,2015,1,8,8,5
9,1/9/2015,11868,Fri,2015,1,9,9,6
10,1/10/2015,8014,Sat,2015,1,10,10,7
11,1/11/2015,7172,Sun,2015,1,11,11,1
12,1/12/2015,11479,Mon,2015,1,12,12,2
13,1/13/2015,11924,Tue,2015,1,13,13,3
14,1/14/2015,12013,Wed,2015,1,14,14,4
15,1/15/2015,12339,Thu,2015,1,15,15,5
16,1/16/2015,11861,Fri,2015,1,16,16,6
17,1/17/2015,8280,Sat,2015,1,17,17,7
18,1/18/2015,7195,Sun,2015,1,18,18,1
19,1/19/2015,10602,Mon,2015,1,19,19,2
20,1/20/2015,12242,Tue,2015,1,20,20,3
21,1/21/2015,12086,Wed,2015,1,21,21,4
22,1/22/2015,11949,Thu,2015,1,22,22,5
23,1/23/2015,11910,Fri,2015,1,23,23,6
24,1/24/2015,8235,Sat,2015,1,24,24,7
25,1/25/2015,7186,Sun,2015,1,25,25,1
26,1/26/2015,11728,Mon,2015,1,26,26,2
27,1/27/2015,11882,Tue,2015,1,27,27,3
28,1/28/2015,11602,Wed,2015,1,28,28,4
29,1/29/2015,11967,Thu,2015,1,29,29,5
30,1/30/2015,11571,Fri,2015,1,30,30,6
31,1/31/2015,7987,Sat,2015,1,31,31,7
32,2/1/2015,7139,Sun,2015,2,32,1,1
33,2/2/2015,11480,Mon,2015,2,33,2,2
34,2/3/2015,12079,Tue,2015,2,34,3,3
35,2/4/2015,11924,Wed,2015,2,35,4,4
36,2/5/2015,11821,Thu,2015,2,36,5,5
37,2/6/2015,11656,Fri,2015,2,37,6,6
38,2/7/2015,8285,Sat,2015,2,38,7,7
39,2/8/2015,7265,Sun,2015,2,39,8,1
40,2/9/2015,11937,Mon,2015,2,40,9,2
41,2/10/2015,12291,Tue,2015,2,41,10,3
42,2/11/2015,11911,Wed,2015,2,42,11,4
43,2/12/2015,12285,Thu,2015,2,43,12,5
44,2/13/2015,11321,Fri,2015,2,44,13,6
45,2/14/2015,8390,Sat,2015,2,45,14,7
46,2/15/2015,7508,Sun,2015,2,46,15,1
47,2/16/2015,11038,Mon,2015,2,47,16,2
